option_id,source_file,slide_number,image_file,image_path,option_label,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_count,status,notes
seq_option_01,Seq_images (1).pptx,1,seq_option_01.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_01.png,Option A,Advanced noise cancellation with multiple microphones,Up to 30 hours of battery life,Quick charging (3-minute charge for up to 3 hours playback),AI beamforming microphones with noise reduction for calls,Hi-Res audio support with spatial audio upmix,5,ready,Extracted from Seq_images (1).pptx
seq_option_02,Seq_images (1).pptx,2,seq_option_02.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_02.png,Option B,Hybrid Active Noise Cancelling reducing up to 35 dB of ambient noise,Up to 120 hours battery life with optional 3.5mm wired mode,Bluetooth 6.0 with low latency and multi-mode audio (Music & Gaming),40 mm drivers with Hi-Res Audio for deep bass and immersive sound,5 ENC microphones for clear calls with background noise reduction,5,ready,Extracted from Seq_images (1).pptx
seq_option_03,Seq_images (1).pptx,3,seq_option_03.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_03.png,Option C,Active Noise Cancellation (ANC) for reduced background noise,Up to 100 hours of battery life with fast charging,Bluetooth wireless + 3.5mm AUX wired connection,IPX7 waterproof rating for durability,Beamforming microphones for clear calls,5,ready,Extracted from Seq_images (1).pptx
seq_option_04,Seq_images (1).pptx,4,seq_option_04.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_04.png,Option D,Hybrid Active Noise Cancellation,Up to 60 hours battery life,Waterproof design for sports and workouts,"Bluetooth connectivity with smartphones, tablets, and laptops","Portable over-ear design suitable for travel, gym, and daily use",5,ready,Extracted from Seq_images (1).pptx
seq_option_05,Seq_images (1).pptx,5,seq_option_05.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_05.png,Option E,29 dB noise attenuation for hearing protection,Durable ABS shell with ultra-soft ear pads,Lightweight 1-lb design for comfortable wear,Gel ear pads for improved comfort and fit,"Ideal for shooting, hunting, and outdoor activities",5,ready,Extracted from Seq_images (1).pptx
seq_option_06,Seq_images (1).pptx,6,seq_option_06.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_06.png,Option F,Wireless Bluetooth 5.3 connectivity with 10 m range,Lightweight design with built-in microphone,Noise isolation for clearer audio,Water-resistant for sports and exercise,Compatible with smartphones for workouts and daily use,5,ready,Extracted from Seq_images (1).pptx
seq_option_07,Seq_images (1).pptx,7,seq_option_07.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_07.png,Option G,Bone conduction design for open-ear listening,Bluetooth 5.4 wireless connectivity with 33 ft range,Waterproof construction for outdoor activities,Lightweight wireless design with no headphone jack,"Compatible with phones, tablets, laptops, and car audio systems",5,ready,Extracted from Seq_images (1).pptx
seq_option_08,Seq_images (1).pptx,8,seq_option_08.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_08.png,Option H,Bluetooth 5.2 wireless connectivity with optional 3.5 mm wired mode,"Dynamic drivers with 20 Hz – 20,000 Hz frequency range",Up to 40 hours of battery life on a single charge,Includes protective carrying case and USB-C charging cable,Designed as wireless over-ear headphones for everyday listening,5,ready,Extracted from Seq_images (1).pptx
seq_option_09,Seq_images (1).pptx,9,seq_option_09.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_09.png,Option I,Patented Crusher Bass technology with dual bass drivers,Up to 50 hours of battery life with rapid charging,"Call, track, and volume controls built into the headphones","Flat-folding, collapsible design for portability",Includes 1-year limited warranty,5,ready,Extracted from Seq_images (1).pptx
seq_option_10,Seq_images (1).pptx,10,seq_option_10.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_10.png,Option J,Noise-canceling microphone that reduces up to 96% of background noise,Bluetooth 5.4 connectivity with optional USB dongle for stable connection,Rotatable boom mic with mute function and busy indicator light,All-day battery life with optional AUX wired mode,Lightweight adjustable design with soft ear cushions for comfort,5,ready,Extracted from Seq_images (1).pptx
seq_option_11,Seq_images (1).pptx,11,seq_option_11.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_11.png,Option K,AI noise-canceling microphone reducing up to 99% of background noise,Bluetooth 5.3 with USB dongle for stable wireless connectivity,Instant mute button for quick call privacy,Long battery life designed for all-day work and meetings,Adjustable microphone and headband with cushioned ear cups for comfort,5,ready,Extracted from Seq_images (1).pptx
seq_option_12,Seq_images (1).pptx,12,seq_option_12.png,/Users/kwakufinest/Documents/New project/sequential-order-experiment/materials/seq_images_assets_v2/seq_option_12.png,Option L,Hybrid active noise cancellation with dual drivers for immersive sound,"Balanced audio performance with clear highs, mids, and deep bass",Built-in microphones with easy onboard call and media controls,Ultra-soft ear cushions with adjustable headband for all-day comfort,Up to 35 hours of battery life with stable Bluetooth wireless connection,5,ready,Extracted from Seq_images (1).pptx
